Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('gfli_a_0', 'pi_cc_d')","('gfli_a_0', 'pi_cc_q')","('gfli_a_0', 'i_vsc_d')","('gfli_a_0', 'i_vsc_q')","('gfli_a_0', 'i_bus_d')","('gfli_a_0', 'i_bus_q')","('gfli_a_0', 'v_lcl_sh_d')","('gfli_a_0', 'v_lcl_sh_q')","('gfli_a_0', 'int_pll')","('gfli_a_0', 'phase_pll')","('gfli_a_1', 'pi_cc_d')","('gfli_a_1', 'pi_cc_q')","('gfli_a_1', 'i_vsc_d')","('gfli_a_1', 'i_vsc_q')","('gfli_a_1', 'i_bus_d')","('gfli_a_1', 'i_bus_q')","('gfli_a_1', 'v_lcl_sh_d')","('gfli_a_1', 'v_lcl_sh_q')","('gfli_a_1', 'int_pll')","('gfli_a_1', 'phase_pll')","('gfli_e_0', 'pi_cc_d')","('gfli_e_0', 'pi_cc_q')","('gfli_e_0', 'i_vsc_d')","('gfli_e_0', 'i_vsc_q')","('gfli_e_0', 'i_bus_d')","('gfli_e_0', 'i_bus_q')","('gfli_e_0', 'v_lcl_sh_d')","('gfli_e_0', 'v_lcl_sh_q')","('gfli_e_0', 'int_pll')","('gfli_e_0', 'phase_pll')","('gfli_e_0', 'int_vdc')","('gfli_e_0', 'v_dc')","('gfli_e_0', 'i_load')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('infinite_sources_0', 'i_bus_d')",-18.84955592153876,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18846.506837214994,-339.0257719190754,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",-376.99111843077515,-18.84955592153876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0257719190754,-18846.506837214994,0.0,0.0,0.0,0.0
"('gfli_a_0', 'pi_cc_d')",0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'pi_cc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'i_vsc_d')",0.0,0.0,7539.822368615503,0.0,-7.5398223686155035,376.99111843077515,-3392.9200658769764,-1130.9733552923258,-7539.822368615503,0.0,0.029619999999999983,-2.9619999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5654.8667764616275,2.9619999999999984,0.0,0.0,0.0,0.0
"('gfli_a_0', 'i_vsc_q')",0.0,0.0,0.0,7539.822368615503,-376.99111843077515,-7.5398223686155035,1130.9733552923258,-3392.9200658769764,0.0,-7539.822368615503,-0.20379599999999987,-5634.487176461627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5634.487176461627,0.0,0.0,0.0,0.0
"('gfli_a_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,-15.079644737231007,376.99111843077515,3769.9111843077517,0.0,0.01,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3769.9111843077517,1.0000000000000002,0.0,0.0,0.0,0.0
"('gfli_a_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-15.079644737231007,0.0,3769.9111843077517,0.8,3689.9111843077517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3689.9111843077517,0.0,0.0,0.0,0.0
"('gfli_a_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,0.0,-3769.9111843077517,376.99111843077515,-0.07996000000000002,7.996000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.996000000000002,0.0,0.0,0.0,0.0
"('gfli_a_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,-376.99111843077515,-3769.9111843077517,-0.9958,99.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.58,0.0,0.0,0.0,0.0
"('gfli_a_0', 'int_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
"('gfli_a_0', 'phase_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
"('gfli_a_1', 'pi_cc_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_1', 'pi_cc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_1', 'i_vsc_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.822368615503,0.0,-7.5398223686155035,376.99111843077515,-3392.9200658769764,-1130.9733552923258,-7539.822368615503,0.0,0.17038830710351094,-17.043606171497327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5654.891723281224,2.8599382872581387,0.0,0.0
