Index,"('infinite_sources_0', 'v_ref_d')","('infinite_sources_0', 'v_ref_q')","('gfli_a_0', 'i_bus_d_ref')","('gfli_a_0', 'i_bus_q_ref')"
"('infinite_sources_0', 'v_ref_d')",1.0,0.0,0.0,0.0
"('infinite_sources_0', 'v_ref_q')",0.0,1.0,0.0,0.0
"('infinite_sources_0', 'v_bus_D')",0.0,0.0,0.0,0.0
"('infinite_sources_0', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('gfli_a_0', 'i_bus_d_ref')",0.0,0.0,1.0,0.0
"('gfli_a_0', 'i_bus_q_ref')",0.0,0.0,0.0,1.0
"('gfli_a_0', 'v_bus_D')",0.0,0.0,0.0,0.0
"('gfli_a_0', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'i_bus_D')",0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'i_bus_Q')",0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'i_bus_D')",0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'i_bus_Q')",0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_from_bus_D')",0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_from_bus_Q')",0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_to_bus_D')",0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'v_to_bus_Q')",0.0,0.0,0.0,0.0
